season,week,method,phi,center_type,center_val,sample_count
1,2,Rank_Strict,2.0,Judge,"[4,2,0,5,1,3]",829
1,3,Rank_Strict,2.0,Judge,"[4,2,1,3,0]",100894
1,4,Rank_Strict,2.0,Judge,"[3,2,0,1]",650
2,1,Rank_Strict,2.0,Judge,"[0,7,1,4,8,6,9,3,2,5]",9312
2,2,Rank_Strict,2.0,Judge,"[1,4,2,3,6,8,0,7,5]",9798
2,3,Rank_Strict,1.0,Judge,"[0,4,5,6,3,7,1,2]",1049
2,4,Rank_Strict,2.0,Judge,"[0,5,4,1,6,2,3]",135256
2,5,Rank_Strict,2.0,Judge,"[1,3,4,2,0,5]",135818
2,6,Rank_Strict,2.0,Judge,"[0,3,4,2,1]",13785
2,7,Rank_Strict,2.0,Judge,"[0,3,2,1]",13876
3,1,Percent_Convex,N/A (Convex),N/A,N/A,2000
3,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
3,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
3,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
3,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
3,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
3,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
4,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
4,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
4,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
4,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
4,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
4,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
4,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
4,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
5,1,Percent_Convex,N/A (Convex),N/A,N/A,2000
5,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
5,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
5,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
5,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
5,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
5,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
5,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
5,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
6,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
6,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
6,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
6,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
6,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
6,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
6,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
6,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
7,1,Percent_Convex,N/A (Convex),N/A,N/A,2000
7,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
7,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
7,5,Percent_Convex,N/A (Convex),N/A,N/A,2000
7,6,Percent_Convex,N/A (Convex),N/A,N/A,2000
7,7,Percent_Convex,N/A (Convex),N/A,N/A,2000
7,8,Percent_Convex,N/A (Convex),N/A,N/A,2000
7,9,Percent_Convex,N/A (Convex),N/A,N/A,2000
8,2,Percent_Convex,N/A (Convex),N/A,N/A,2000
8,3,Percent_Convex,N/A (Convex),N/A,N/A,2000
8,4,Percent_Convex,N/A (Convex),N/A,N/A,2000
