season,week,celebrity_name,ori_results,parsed_results,age,industry,partner,weekly_raw_score,effective_score,is_accumulated,exit_mode,final_rank,exit_week_parsed,judge_metric
1,1,Evander Holyfield,Eliminated Week 3,Eliminated Week 3,42,Athlete,Edyta Sliwinska,18.0,18.0,False,eliminated,5.0,3,4.0
1,2,Evander Holyfield,Eliminated Week 3,Eliminated Week 3,42,Athlete,Edyta Sliwinska,14.0,32.0,True,eliminated,5.0,3,6.0
1,3,Evander Holyfield,Eliminated Week 3,Eliminated Week 3,42,Athlete,Edyta Sliwinska,13.0,13.0,False,eliminated,5.0,3,5.0
1,1,Joey McIntyre,3rd Place,Eliminated Week 5,32,Singer/Rapper,Ashly DelGrosso,20.0,20.0,False,eliminated,3.0,5,1.0
1,2,Joey McIntyre,3rd Place,Eliminated Week 5,32,Singer/Rapper,Ashly DelGrosso,21.0,41.0,True,eliminated,3.0,5,3.0
1,3,Joey McIntyre,3rd Place,Eliminated Week 5,32,Singer/Rapper,Ashly DelGrosso,22.0,22.0,False,eliminated,3.0,5,3.0
1,4,Joey McIntyre,3rd Place,Eliminated Week 5,32,Singer/Rapper,Ashly DelGrosso,20.0,20.0,False,eliminated,3.0,5,4.0
1,5,Joey McIntyre,3rd Place,Eliminated Week 5,32,Singer/Rapper,Ashly DelGrosso,22.5,22.5,False,eliminated,3.0,5,3.0
1,1,John O'Hurley,2nd Place,2nd Place,50,Actor/Actress,Charlotte Jorgensen,20.0,20.0,False,final,2.0,6,1.0
1,2,John O'Hurley,2nd Place,2nd Place,50,Actor/Actress,Charlotte Jorgensen,26.0,46.0,True,final,2.0,6,1.0
1,3,John O'Hurley,2nd Place,2nd Place,50,Actor/Actress,Charlotte Jorgensen,24.0,24.0,False,final,2.0,6,2.0
1,4,John O'Hurley,2nd Place,2nd Place,50,Actor/Actress,Charlotte Jorgensen,21.0,21.0,False,final,2.0,6,3.0
1,5,John O'Hurley,2nd Place,2nd Place,50,Actor/Actress,Charlotte Jorgensen,27.0,27.0,False,final,2.0,6,1.0
1,6,John O'Hurley,2nd Place,2nd Place,50,Actor/Actress,Charlotte Jorgensen,27.0,27.0,False,final,2.0,6,2.0
1,1,Kelly Monaco,1st Place,1st Place,29,Actor/Actress,Alec Mazo,13.0,13.0,False,final,1.0,6,6.0
1,2,Kelly Monaco,1st Place,1st Place,29,Actor/Actress,Alec Mazo,17.0,30.0,True,final,1.0,6,5.0
1,3,Kelly Monaco,1st Place,1st Place,29,Actor/Actress,Alec Mazo,21.0,21.0,False,final,1.0,6,4.0
1,4,Kelly Monaco,1st Place,1st Place,29,Actor/Actress,Alec Mazo,26.0,26.0,False,final,1.0,6,1.0
1,5,Kelly Monaco,1st Place,1st Place,29,Actor/Actress,Alec Mazo,23.5,23.5,False,final,1.0,6,2.0
